epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.426043,0.656123,3.387169,0.142716,0.00100000
2,0.247989,0.724882,2.627068,0.213207,0.00099726
3,0.206900,0.747696,3.111870,0.233093,0.00098907
4,0.181169,0.766184,2.487938,0.320608,0.00097553
5,0.169901,0.778658,2.368941,0.343823,0.00095677
6,0.155970,0.794473,2.017272,0.391239,0.00093301
7,0.146093,0.807756,1.841885,0.465200,0.00090451
8,0.135133,0.819585,1.842435,0.498077,0.00087157
9,0.127131,0.830570,1.825758,0.487994,0.00083457
10,0.118509,0.841591,1.757877,0.524857,0.00079389
11,0.112194,0.848015,1.626707,0.523122,0.00075000
12,0.102520,0.856034,1.600339,0.552434,0.00070337
13,0.096194,0.862318,1.541279,0.593518,0.00065451
14,0.085314,0.871603,1.457850,0.576588,0.00060396
15,0.080646,0.876738,1.360253,0.597646,0.00055226
16,0.078146,0.880501,1.272847,0.640700,0.00050000
17,0.069264,0.889892,1.189907,0.651346,0.00044774
18,0.065983,0.895894,1.149403,0.681034,0.00039604
19,0.061957,0.902260,1.264222,0.646797,0.00034549
20,0.056388,0.907958,1.149266,0.686380,0.00029663
21,0.055021,0.911885,1.110881,0.700450,0.00025000
22,0.051066,0.917220,0.962723,0.724322,0.00020611
23,0.049281,0.916973,1.106156,0.686333,0.00016543
24,0.045490,0.921757,0.989764,0.720477,0.00012843
25,0.042844,0.926001,0.879249,0.744630,0.00009549
26,0.042812,0.926704,0.845794,0.750399,0.00006699
27,0.039175,0.930971,0.809681,0.767048,0.00004323
28,0.039500,0.932308,0.816332,0.765360,0.00002447
29,0.038051,0.932460,0.833610,0.763015,0.00001093
30,0.038439,0.931194,0.810700,0.767330,0.00000274
